rank|name|score|actual_score|size|members
1|RUNNING AMOQQ|386543519|401632763|64329|50
2|VGN|376606008|399714908|67835|50
3|Pink Fluffy Unicorns|368423256|387807697|57641|50
4|ODDR|362617965|380037696|85423|50
5|Newdawn ft HR|299712357|311100752|67733|50
6|CaRnage|294790140|306033809|62753|49
7|SWAT THEORY|271049762|276246373|66526|47
8|TiT|230503709|237950973|63408|46
9|PATSA|40058243|40438146|12756|12
10|Ants|7243994|7243994|1134|1
11|Hemorrhoids|4160427|4200427|930|1
12|Discord|3577639|3787203|1562|1
13|SJA|3543815|3543815|323|1
14|Time|3320031|3383784|1297|1
15|VtS|2965130|3312239|703|1
16|Questers|2775509|2815509|414|1
17|ALL SOULS|2201426|2241426|368|1
18|THE FKING MINISTRY|1839170|2239710|390|1
19|this is class|1509026|1549026|591|1
20|Stellar Empire|1273577|3796153|1830|2
21|defghjk|624964|687284|459|1
22|Titans|591619|727934|435|1
23|Wall Hacks|576997|797621|731|1
24|Worst PA Leaders EVA|412426|1867764|833|1
25|Flush|253506|541159|662|1
26|Tre Kronor|251068|300762|174|1
27|Tyyyt|237194|394624|323|1
