rank|ruler|planet|nick|alliance|score|value|xp|size|race|coords
1|AECIO|NEVES|Joseph|HUEHUEHUE|11232623|1575503|160952|552|Ter|3:9:12
2|SQUAREROOT|1,787,569|Plaguuu|p3nguins|10934258|8870318|34399|2039|Zik|1:3:1
3|XiCoT|4FUN|XiCoT|HUEHUEHUE|10143313|2533513|126830|919|Ter|3:8:2
4|LUCKY CHARM|THIS GAL|euler|None|9883155|7366335|41947|877|Cat|1:3:12
5|GaoFuShuai|BaiFuMei|anImaru|p3nguins|9859748|8167808|28199|2411|Zik|3:2:9
6|I really want|the tshirt|Phant|Faceless|9607832|8408972|19981|850|Ter|5:2:10
7|Dilapidated|Solitude|Golan|�blekage|9276593|6308993|49460|1144|Ter|5:2:8
8|McAwesome|Awesome Planet|Sevenseas|p3nguins|9224629|7548409|27937|1831|Xan|6:9:4
9|Dedicating round to my friend|who died in MH17|BaasB|p3nguins|9159319|7716379|24049|2036|Zik|2:2:5
10|Centre|Attention|Amnion|FURGION|9148661|5280521|64469|1135|Etd|2:3:7
11|Phil Collins|TrailerPark Boys|InNeed|Rainbows|9117556|7103956|33560|1743|Cat|1:2:4
12|Countess Lily Munster|Shroudshire|adastra|Faceless|9065179|7741339|22064|2638|Ter|5:6:5
13|THINKING|A BETTER NAME|Dogg|p3nguins|8949341|6439781|41826|1763|Xan|2:4:2
14|Jack|Daniels|MaVeRiXX|NewDawn|8917629|5764749|52548|2374|Zik|2:6:1
15|Planet|The Apes|H1dd3n_Ag3nda|Conspiracy|8895442|6762442|35550|993|Xan|1:2:11
16|Matt|Damon|DG|Black Flag|8809308|3474708|88910|2141|Etd|7:7:1
17|ONE|CARDIS COUSINS|Mikee|None|8806104|7179864|27104|254|Etd|1:2:10
18|Lim Yo Hwan|SK Telecom T1|bass|Apprime|8704702|4336402|72805|412|Ter|6:9:6
19|YUN YOUNG SEO|TEAM LIQUID|ekseri|FURGION|8656163|5026043|60502|1251|Etd|1:3:7
20|I just want the|T-shirt|Truhatred|Faceless|8620624|6959824|27680|706|Ter|5:2:7
21|COMPLIMENTS|FOR YOUR EFFORT|TheoDD|FURGION|8520856|4142716|72969|519|Xan|1:3:3
22|HEROKICKER|EMOTIONALLY FRAGILE|HellKicker|FURGION|8462288|7255568|20112|592|Ter|1:2:8
23|Gluteus|Maximus|Hans|Rainbows|8445903|6554223|31528|618|Cat|1:2:12
24|Ted Theodore Logan|Bogus Journey|Paris|Black Flag|8302349|4910009|56539|1642|Etd|5:7:3
25|h0stile|n00b|Exor|Rainbows|8160476|4732196|57138|1274|Etd|3:3:1
26|Sukur|Minahasa|Sukur|NewDawn|8143849|5528809|43584|1952|Cat|6:5:2
27|The Comparable IQ|Matt and a Rock|ManiacMagic|Black Flag|8140678|7003138|18959|1577|Ter|1:2:6
28|crusie|Belgium|crusie|Conspiracy|8132483|6077483|34250|610|Xan|5:2:4
29|Tell Me Something|Worth Fighting For|Toneh|NewDawn|8118326|5672846|40758|1478|Etd|3:4:9
30|Proof|Life|Cowmando|p3nguins|8098544|6259064|30658|2293|Zik|1:6:11
31|Eddie Munster|mockingbird Lane|Coolkat|Faceless|8031725|6750245|21358|706|Xan|5:6:2
32|Andbern|The Hollow|Andbern|Rainbows|7992008|3097928|81568|1214|Etd|4:1:7
